n_agents,movement_saturation,relative_leader_influence,conversion_rate,run_id,aggregation_method,signal_representation
25,60,50,0.4,2,sum-linear,binary
25,60,50,0.5,3,sum-linear,binary
25,60,50,0.5,4,sum-linear,binary
25,60,50,0.6,5,sum-linear,binary
25,60,50,0.4,6,sum-linear,binary
25,60,50,0.8,7,sum-linear,binary
25,60,50,0.5,8,sum-linear,binary
25,60,50,0.7,9,sum-linear,binary
25,60,50,0.8,10,sum-linear,binary
25,65,50,0.5,1,sum-linear,binary
25,65,50,0.5,2,sum-linear,binary
25,65,50,0.375,3,sum-linear,binary
25,65,50,0.375,4,sum-linear,binary
25,65,50,0.5,5,sum-linear,binary
25,65,50,0.75,6,sum-linear,binary
25,65,50,0.5,7,sum-linear,binary
25,65,50,0.625,8,sum-linear,binary
25,65,50,0.625,9,sum-linear,binary
25,65,50,0.5,10,sum-linear,binary
25,70,50,0.7142857142857143,1,sum-linear,binary
25,70,50,0.5714285714285714,2,sum-linear,binary
25,70,50,0.2857142857142857,3,sum-linear,binary
25,70,50,0.42857142857142855,4,sum-linear,binary
25,70,50,0.14285714285714285,5,sum-linear,binary
25,70,50,0.8571428571428571,6,sum-linear,binary
25,70,50,0.42857142857142855,7,sum-linear,binary
25,70,50,0.42857142857142855,8,sum-linear,binary
25,70,50,0.7142857142857143,9,sum-linear,binary
25,70,50,0.8571428571428571,10,sum-linear,binary
25,75,50,0.3333333333333333,1,sum-linear,binary
25,75,50,0.3333333333333333,2,sum-linear,binary
25,75,50,0.8333333333333334,3,sum-linear,binary
25,75,50,0.6666666666666666,4,sum-linear,binary
25,75,50,0.5,5,sum-linear,binary
25,75,50,0.3333333333333333,6,sum-linear,binary
25,75,50,0.5,7,sum-linear,binary
25,75,50,0.16666666666666666,8,sum-linear,binary
25,75,50,0.5,9,sum-linear,binary
25,75,50,0.5,10,sum-linear,binary
25,80,50,0.8,1,sum-linear,binary
25,80,50,0.6,2,sum-linear,binary
25,80,50,1,3,sum-linear,binary
25,80,50,1,4,sum-linear,binary
25,80,50,1,5,sum-linear,binary
25,80,50,1,6,sum-linear,binary
25,80,50,0.6,7,sum-linear,binary
25,80,50,0.2,8,sum-linear,binary
25,80,50,0.4,9,sum-linear,binary
25,80,50,0.4,10,sum-linear,binary
25,85,50,0.6666666666666666,1,sum-linear,binary
25,85,50,0.3333333333333333,2,sum-linear,binary
25,85,50,0.6666666666666666,3,sum-linear,binary
25,85,50,1,4,sum-linear,binary
25,85,50,0.6666666666666666,5,sum-linear,binary
25,85,50,0.6666666666666666,6,sum-linear,binary
25,85,50,1,7,sum-linear,binary
25,85,50,0.6666666666666666,8,sum-linear,binary
25,85,50,0.6666666666666666,9,sum-linear,binary
25,85,50,0.3333333333333333,10,sum-linear,binary
25,90,50,0.5,1,sum-linear,binary
25,90,50,0,2,sum-linear,binary
25,90,50,1,3,sum-linear,binary
25,90,50,1,4,sum-linear,binary
