run_id,tick,n_agents,movement_saturation,relative_leader_influence,log_recruitment_strictness,log_desertion_strictness,social_influence,n_signals,new_signal_rate,leader_values,leader_election,leader_lifespan,n_ticks_total,data_interval,signal_representation,conversion_rate,desertion_rate,conversion_rate_A,conversion_rate_B,conversion_rate_C,conversion_rate_D,conversion_rate_E,converted_A,converted_B,converted_C,converted_D,converted_E,deserted_A,deserted_B,deserted_C,deserted_D,deserted_E,outsiders_A,outsiders_B,outsiders_C,outsiders_D,outsiders_E,count_eas,count_non_eas,ea_A,ea_B,ea_C,ea_D,ea_E,profile_A_total,profile_B_total,profile_C_total,profile_D_total,profile_E_total,leader_value_profile,mean_signals_eas,mean_signals_outsiders,mean_signals_leader,sd_signals_eas,sd_signals_outsiders,mean_time_eas,mean_time_noneas,mean_time_all,ea_align_0_0.05,ea_align_0.05_0.1,ea_align_0.1_0.15,ea_align_0.15_0.2,ea_align_0.2_0.25,ea_align_0.25_0.3,ea_align_0.3_0.35,ea_align_0.35_0.4,ea_align_0.4_0.45,ea_align_0.45_0.5,ea_align_0.5_0.55,ea_align_0.55_0.6,ea_align_0.6_0.65,ea_align_0.65_0.7,ea_align_0.7_0.75,ea_align_0.75_0.8,ea_align_0.8_0.85,ea_align_0.85_0.9,ea_align_0.9_0.95,ea_align_0.95_1,nonea_align_0_0.05,nonea_align_0.05_0.1,nonea_align_0.1_0.15,nonea_align_0.15_0.2,nonea_align_0.2_0.25,nonea_align_0.25_0.3,nonea_align_0.3_0.35,nonea_align_0.35_0.4,nonea_align_0.4_0.45,nonea_align_0.45_0.5,nonea_align_0.5_0.55,nonea_align_0.55_0.6,nonea_align_0.6_0.65,nonea_align_0.65_0.7,nonea_align_0.7_0.75,nonea_align_0.75_0.8,nonea_align_0.8_0.85,nonea_align_0.85_0.9,nonea_align_0.9_0.95,nonea_align_0.95_1,ea_signal_weight_0_mean,ea_signal_weight_0_sd,ea_signal_weight_1_mean,ea_signal_weight_1_sd,ea_signal_weight_2_mean,ea_signal_weight_2_sd,ea_signal_weight_3_mean,ea_signal_weight_3_sd,ea_signal_weight_4_mean,ea_signal_weight_4_sd,ea_signal_weight_5_mean,ea_signal_weight_5_sd,nonea_signal_weight_0_mean,nonea_signal_weight_0_sd,nonea_signal_weight_1_mean,nonea_signal_weight_1_sd,nonea_signal_weight_2_mean,nonea_signal_weight_2_sd,nonea_signal_weight_3_mean,nonea_signal_weight_3_sd,nonea_signal_weight_4_mean,nonea_signal_weight_4_sd,nonea_signal_weight_5_mean,nonea_signal_weight_5_sd,leader_signal_weight_0_mean,leader_signal_weight_0_sd,leader_signal_weight_1_mean,leader_signal_weight_1_sd,leader_signal_weight_2_mean,leader_signal_weight_2_sd,leader_signal_weight_3_mean,leader_signal_weight_3_sd,leader_signal_weight_4_mean,leader_signal_weight_4_sd,leader_signal_weight_5_mean,leader_signal_weight_5_sd
1,0,500,5,60,0.5,-0.5,0.1,5,80,random,external,4,20,1,categorical,0.0787746170678337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,114,193,118,30,24,475,15,9,0,0,0,35,124,193,118,30,B,2.1166666666666667,3.833684210526316,2.6,0.9183775731945872,1.2085251204626932,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,8,6,0,0,0,0,0,0,0,3,7,32,18,22,18,94,70,44,32,37,44,54,0,0.3162499999999999,0.24232232397295175,0.33749999999999997,0.04945353550468404,0.24375000000000005,0.12363383876171008,0.08118750000000001,0.05444834259065711,0.021062499999999998,0.014588792973881786,2.5E-4,1.9781414201873606E-4,0.027646315789473637,0.0992341813330307,0.12688631578947357,0.1633929174947709,0.18865263157894813,0.12341644779745578,0.3743052631578941,0.27322498201120854,0.19276421052631632,0.1672815603895691,0.08974526315789523,0.1157599899257054,0.01,NA,0.4,NA,0.4,NA,0.15,NA,0.0395,NA,5.0E-4,NA
1,1,500,5,60,0.5,-0.5,0.1,5,80,random,external,4,20,1,categorical,0.08,0,0.2,0.24561403508771928,0.031088082901554404,0,0,4,28,6,0,0,0,0,0,0,0,20,114,193,118,30,24,475,15,9,0,0,0,35,124,193,118,30,B,2.125,3.8210526315789473,2.6,0.9750026933813262,1.2053215632950456,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,8,6,0,0,0,0,0,0,0,3,7,32,18,22,18,94,70,44,32,37,44,54,0,0.3102556373878297,0.23755531903176436,0.3387626297881419,0.047572048750774934,0.24785892926193231,0.12206823465056858,0.08101434364407605,0.05385920034234404,0.02110305784203556,0.014531265176159209,0.0010054020759844887,6.362526754817686E-6,0.027646315789473595,0.09923418133303077,0.1268863157894735,0.1633929174947707,0.18865263157894804,0.12341644779745574,0.3743052631578941,0.27322498201120826,0.192764210526316,0.16728156038956882,0.0897452631578952,0.11575998992570542,0.01,NA,0.4,NA,0.4,NA,0.15,NA,0.0395,NA,5.0E-4,NA
1,2,500,5,60,0.5,-0.5,0.1,5,80,random,external,4,20,1,categorical,0.10087719298245613,0,0.043478260869565216,0.3404255319148936,0.05699481865284974,0.017543859649122806,0,1,32,11,2,0,0,0,0,0,0,23,94,193,114,32,43,456,12,26,5,0,0,35,121,198,114,32,B,2.5209302325581397,3.832894736842105,2.6,0.9364274274525812,1.1922178724324866,2.302325581395349,2.699561403508772,2.666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,6,20,3,0,0,0,0,0,0,1,7,14,16,11,36,37,53,83,75,33,42,37,11,0.1414291095148968,0.21365590304759768,0.32828120534563837,0.11957910601567845,0.3032031964523448,0.12529114842078676,0.18135819400373285,0.19049550735777745,0.041215719769540936,0.03327075640835123,0.004512574913846229,0.00978186984388086,0.029013596491228026,0.09738191649830548,0.11891008771929822,0.1607551329729008,0.17866228070175458,0.11810671270133866,0.39297039473684175,0.27301502253208604,0.19803289473684288,0.1688044515751938,0.08241074561403536,0.11601615648519245,0.01,NA,0.4,NA,0.4,NA,0.15,NA,0.0395,NA,5.0E-4,NA
1,3,500,5,60,0.5,-0.5,0.1,5,80,random,external,4,20,1,categorical,0.1095890410958904,0,0.04,0.3870967741935484,0.04395604395604396,0.019417475728155338,0.02857142857142857,1,36,8,2,1,0,0,0,0,0,25,93,182,103,35,61,438,8,41,10,2,0,33,135,192,105,35,B,2.839344262295082,3.8296803652968037,2.4,0.965060450882105,1.1880074523470725,2.5245901639344264,3.1301369863013697,3.058,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,5,9,25,10,0,0,0,0,0,0,2,4,6,22,9,19,22,83,80,66,37,38,42,8,0.06997858746898879,0.1566978279660377,0.3127695087626317,0.14669400511751626,0.319278291837196,0.12282742157509843,0.2271576330821324,0.20883101855636302,0.061223441354095944,0.07069207565040495,0.009592537494955072,0.028760463723962258,0.031061643835616395,0.09948301645030322,0.12393493150684945,0.16450994346880557,0.17902968036529696,0.12047828610872661,0.39850228310502284,0.2708231291298138,0.1968344748858449,0.1715864477095886,0.0706369863013701,0.11596462197063162,0.01,NA,0.4,NA,0.4,NA,0.15,NA,0.0395,NA,5.0E-4,NA
1,4,500,5,60,0.5,-0.5,0.1,5,80,random,external,4,20,1,categorical,0.09903381642512077,0,0.11538461538461539,0.34177215189873417,0.04046242774566474,0.04040404040404041,0,3,27,7,4,0,0,0,0,0,0,26,79,173,99,37,85,414,7,61,13,3,1,33,141,186,102,38,B,2.9435294117647057,3.8376811594202898,2.6,0.9696389936591968,1.158209996553536,2.7411764705882353,3.449275362318841,3.332,0,0,0,0,0,0,0,0,0,1,0,0,1,3,6,8,4,21,41,0,0,0,0,0,0,0,0,4,18,10,11,16,56,56,73,75,29,35,31,0,0.04701696668204646,0.12598296415105886,0.31867805917942743,0.1499999978160018,0.32659708538240106,0.12013507676343109,0.2282261341353108,0.20040109193655908,0.06880180652750525,0.08920816099024292,0.010679948093309135,0.04400346896321897,0.03206086956521732,0.09877794190256198,0.11897463768115936,0.16286207182748533,0.17221014492753592,0.11713801298337448,0.41029879227053195,0.2680434249331067,0.20311714975845455,0.17445409192516814,0.0633384057971016,0.11611918815589896,0.01,NA,0.4,NA,0.4,NA,0.15,NA,0.0395,NA,5.0E-4,NA
1,5,500,5,60,0.5,-0.5,0.1,5,80,random,external,4,20,1,categorical,0.1288782816229117,0,0.10344827586206896,0.36486486486486486,0.1005586592178771,0.05825242718446602,0,3,27,18,6,0,0,0,0,0,0,29,74,179,103,34,80,419,3,59,12,5,1,32,134,191,108,35,B,3.04,3.8520286396181382,2.8,0.9699236463244141,1.1104541173949294,2.75,3.41527446300716,3.306,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,6,12,20,33,3,0,0,0,0,0,0,0,0,4,17,7,5,10,65,78,77,89,33,32,2,0.02383299644999586,0.07376580798156995,0.3137692820312825,0.15600141727866282,0.33391935267414075,0.1192285011413816,0.23769591894616263,0.19703980574843383,0.07966060387874688,0.10361320466458997,0.01112184601967137,0.045119042651292254,0.033854176610978455,0.10006108158671737,0.11698926014319815,0.16206293967307886,0.16957040572792334,0.11303207692487063,0.4298656324582342,0.261256656997704,0.2018926014319811,0.17211224825026805,0.047827923627684996,0.1055057537524138,0.01,NA,0.4,NA,0.4,NA,0.15,NA,0.0395,NA,5.0E-4,NA
1,6,500,5,60,0.5,-0.5,0.1,5,80,random,external,4,20,1,categorical,0.12832929782082325,0.011627906976744186,0.13636363636363635,0.325,0.09375,0.08035714285714286,0,3,26,15,9,0,0,1,0,0,0,22,80,160,112,39,86,413,2,58,19,7,0,24,139,179,119,39,B,3.158139534883721,3.8397094430992738,2.8,0.9646992014349346,1.1184550844807715,2.744186046511628,3.280871670702179,3.188,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,10,14,14,38,0,0,0,0,0,0,0,0,0,3,10,9,18,14,22,111,69,93,26,38,0,0.01831699750897502,0.05862400986403182,0.28352900921109586,0.17044602661245734,0.31958660608451545,0.12552913299105978,0.2841316605020114,0.2242342350118525,0.08603306134729036,0.09808295803834836,0.008402665346111789,0.012423750115934308,0.02726368038740914,0.08863914620973547,0.11772154963680384,0.16217737935449505,0.17311138014527808,0.11806877291294361,0.4146099273607755,0.2570455636071943,0.2150847457627122,0.17792317280805062,0.05220871670702185,0.11309294043512094,0.01,NA,0.4,NA,0.4,NA,0.15,NA,0.0395,NA,5.0E-4,NA
1,7,500,5,60,0.5,-0.5,0.1,5,80,random,external,4,20,1,categorical,0.1016949152542373,0,0.17391304347826086,0.3333333333333333,0.05357142857142857,0.04424778761061947,0,4,24,9,5,0,0,0,0,0,0,23,72,168,113,37,86,413,4,50,19,13,0,27,123,187,126,37,B,3.186046511627907,3.812590799031477,2.8,0.9836854243855795,1.1237552629898906,2.697674418604651,3.2542372881355934,3.16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,6,19,19,30,0,0,0,0,0,0,0,0,0,2,10,7,21,11,19,100,77,97,39,30,0,0.026680886934635443,0.08208757201780105,0.2568593066082611,0.17650969489473567,0.2982622589256107,0.13083200425398545,0.2991594931016999,0.22398701048818198,0.1099945263181542,0.12438163239057298,0.009043528111638615,0.012264070329030992,0.028232803966172434,0.09050597938845821,0.11139690360076672,0.1582530857372905,0.16840333697046747,0.11333502615385961,0.4261251101330195,0.25656725103219874,0.21497309277799295,0.1757106394026715,0.050868752551580965,0.11031538839121882,0.01,NA,0.4,NA,0.4,NA,0.15,NA,0.0395,NA,5.0E-4,NA
1,8,500,5,60,0.5,-0.5,0.1,5,80,random,external,4,20,1,categorical,0.09832134292565947,0.012195121951219513,0.06666666666666667,0.2692307692307692,0.0625,0.07017543859649122,0,1,21,11,8,0,0,0,1,0,0,15,78,176,114,34,82,417,6,49,18,9,0,21,128,194,123,34,B,3.151219512195122,3.8268585131894484,2.6,0.9995407138972097,1.0896687947166324,2.8292682926829267,3.448441247002398,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,19,17,30,0,0,0,0,0,0,0,0,0,3,6,19,9,11,21,95,75,103,43,32,0,0.03748658475900872,0.10183774942036689,0.2727026620237452,0.1725596718690252,0.3027322664821069,0.128998572753568,0.28368805919730644,0.2249035821509491,0.09466859586678095,0.11053367691541224,0.008721831671051972,0.012525764253123663,0.020624460431654567,0.07351167866569938,0.1088561151079136,0.15649260294409256,0.1722781774580332,0.11541403031184802,0.43754220623501255,0.25230286238605776,0.2125923261390888,0.17220346024344654,0.048106714628297464,0.10566609807184359,0.01,NA,0.4,NA,0.4,NA,0.15,NA,0.0395,NA,5.0E-4,NA
1,9,500,5,60,0.5,-0.5,0.1,5,80,random,external,4,20,1,categorical,0.04739336492890995,0.012987012987012988,0.16666666666666666,0.19230769230769232,0.011111111111111112,0,0,3,15,2,0,0,0,0,1,0,0,18,78,180,112,34,77,422,2,48,17,10,0,21,126,197,122,34,A,3.103896103896104,3.838388625592417,2,0.9351973887068744,1.1154100814283505,2.831168831168831,3.4075829383886256,3.316,0,0,0,0,0,0,0,0,0,0,0,1,4,12,7,13,20,20,0,0,0,0,0,0,0,1,3,14,10,7,31,46,56,121,24,34,39,36,0,0,0.019192247890823893,0.06201706819709188,0.2690485946038375,0.17764992255789488,0.30174951569155317,0.12592239639621675,0.2976022563441329,0.22186110449615074,0.10346073139133406,0.11707400576463009,0.00894665407831852,0.01248881295195854,0.023316922283011694,0.07973237300730131,0.11041399181997422,0.15764688397583243,0.17175531219282028,0.11483325696969883,0.4373404066700617,0.2542725287001721,0.2093965640815216,0.1717463864529121,0.047776802952610574,0.10509598020898185,0.4,NA,0.4,NA,0.15,NA,0.0399,NA,0.01,NA,1.0E-4,NA
