run_id,tick,n_agents,movement_saturation,relative_leader_influence,log_recruitment_strictness,log_desertion_strictness,social_influence,n_signals,new_signal_rate,leader_values,leader_election,leader_lifespan,n_ticks_total,data_interval,signal_representation,conversion_rate,desertion_rate,conversion_rate_A,conversion_rate_B,conversion_rate_C,conversion_rate_D,conversion_rate_E,converted_A,converted_B,converted_C,converted_D,converted_E,deserted_A,deserted_B,deserted_C,deserted_D,deserted_E,outsiders_A,outsiders_B,outsiders_C,outsiders_D,outsiders_E,count_eas,count_non_eas,ea_A,ea_B,ea_C,ea_D,ea_E,profile_A_total,profile_B_total,profile_C_total,profile_D_total,profile_E_total,leader_value_profile,mean_signals_eas,mean_signals_outsiders,mean_signals_leader,sd_signals_eas,sd_signals_outsiders,mean_time_eas,mean_time_noneas,mean_time_all,ea_align_0_0.05,ea_align_0.05_0.1,ea_align_0.1_0.15,ea_align_0.15_0.2,ea_align_0.2_0.25,ea_align_0.25_0.3,ea_align_0.3_0.35,ea_align_0.35_0.4,ea_align_0.4_0.45,ea_align_0.45_0.5,ea_align_0.5_0.55,ea_align_0.55_0.6,ea_align_0.6_0.65,ea_align_0.65_0.7,ea_align_0.7_0.75,ea_align_0.75_0.8,ea_align_0.8_0.85,ea_align_0.85_0.9,ea_align_0.9_0.95,ea_align_0.95_1,nonea_align_0_0.05,nonea_align_0.05_0.1,nonea_align_0.1_0.15,nonea_align_0.15_0.2,nonea_align_0.2_0.25,nonea_align_0.25_0.3,nonea_align_0.3_0.35,nonea_align_0.35_0.4,nonea_align_0.4_0.45,nonea_align_0.45_0.5,nonea_align_0.5_0.55,nonea_align_0.55_0.6,nonea_align_0.6_0.65,nonea_align_0.65_0.7,nonea_align_0.7_0.75,nonea_align_0.75_0.8,nonea_align_0.8_0.85,nonea_align_0.85_0.9,nonea_align_0.9_0.95,nonea_align_0.95_1,ea_signal_weight_0_mean,ea_signal_weight_0_sd,ea_signal_weight_1_mean,ea_signal_weight_1_sd,ea_signal_weight_2_mean,ea_signal_weight_2_sd,ea_signal_weight_3_mean,ea_signal_weight_3_sd,ea_signal_weight_4_mean,ea_signal_weight_4_sd,ea_signal_weight_5_mean,ea_signal_weight_5_sd,nonea_signal_weight_0_mean,nonea_signal_weight_0_sd,nonea_signal_weight_1_mean,nonea_signal_weight_1_sd,nonea_signal_weight_2_mean,nonea_signal_weight_2_sd,nonea_signal_weight_3_mean,nonea_signal_weight_3_sd,nonea_signal_weight_4_mean,nonea_signal_weight_4_sd,nonea_signal_weight_5_mean,nonea_signal_weight_5_sd,leader_signal_weight_0_mean,leader_signal_weight_0_sd,leader_signal_weight_1_mean,leader_signal_weight_1_sd,leader_signal_weight_2_mean,leader_signal_weight_2_sd,leader_signal_weight_3_mean,leader_signal_weight_3_sd,leader_signal_weight_4_mean,leader_signal_weight_4_sd,leader_signal_weight_5_mean,leader_signal_weight_5_sd
1,0,500,5,75,0.5,-0.5,0.1,5,80,value-profile-B,external,4,20,1,categorical,0.20474777448071216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,113,179,132,36,24,475,15,8,1,0,0,30,122,180,132,36,B,2.175,3.8922105263157896,3,1.0742400088614532,1.2038281214757973,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,8,5,2,3,0,0,0,0,0,0,0,0,2,7,19,19,33,33,66,78,93,59,61,5,0,0.31625,0.2423223239729517,0.3216666666666666,0.07998188200633542,0.2320833333333334,0.12143988194796729,0.10410416666666665,0.13733106453469254,0.024416666666666666,0.024736729717192794,0.001479166666666668,0.006077898604721484,0.022083368421052515,0.0865122080920799,0.12352421052631564,0.16213757683491034,0.18717894736842156,0.12430328866417563,0.35933663157894713,0.2689264305879928,0.20777578947368494,0.17344418946701956,0.10010105263157942,0.12137332607121719,0.01,NA,0.4,NA,0.4,NA,0.15,NA,0.0395,NA,5.0E-4,NA
1,1,500,5,75,0.5,-0.5,0.1,5,80,value-profile-B,external,4,20,1,categorical,0.07578947368421053,0,0,0.19469026548672566,0.0446927374301676,0.045454545454545456,0,0,22,8,6,0,0,0,0,0,0,15,113,179,132,36,24,475,15,8,1,0,0,30,122,180,132,36,B,2.2083333333333335,3.905263157894737,2.8,1.1294070232160038,1.20998447540404,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,8,5,2,3,0,0,0,0,0,0,0,0,2,7,19,19,33,33,66,78,93,59,61,5,0,0.3090346441322643,0.23654484784457808,0.32959920410596427,0.0809981646089047,0.22954125019150898,0.11606928026139463,0.10451702792853103,0.13394332118586758,0.0250324730574631,0.02596834276288195,0.0022754005842682916,0.006200137213121669,0.022083368421052532,0.08651220809207989,0.12352421052631557,0.16213757683491037,0.1871789473684216,0.12430328866417559,0.3593366315789472,0.2689264305879928,0.20777578947368486,0.17344418946701956,0.10010105263157947,0.12137332607121719,0.01,NA,0.4,NA,0.4,NA,0.15,NA,0.0395,NA,5.0E-4,NA
1,2,500,5,75,0.5,-0.5,0.1,5,80,value-profile-B,external,4,20,1,categorical,0.08131868131868132,0,0.1875,0.24752475247524752,0.03278688524590164,0.025,0,3,25,6,3,0,0,0,0,0,0,16,101,183,120,35,44,455,13,20,6,5,0,29,122,189,125,35,B,2.8363636363636364,3.906813186813187,3,1.2858717543109277,1.1755057287753263,2.409090909090909,2.7296703296703297,2.702,0,0,0,0,0,0,0,0,0,0,0,1,1,6,5,9,1,17,3,1,0,0,0,0,0,0,0,1,9,16,18,25,38,73,82,87,22,57,26,1,0.14688454827523692,0.2160454338799181,0.2857949141707377,0.15409375870408407,0.2583907852900435,0.12430480999596545,0.19665275417217087,0.20409806236424602,0.08329112666159702,0.11829926850432257,0.028985871430213972,0.06679946723812548,0.02242527472527465,0.08355554299427179,0.1197252747252746,0.16141766398149796,0.1822747252747256,0.12183545503782806,0.38348329670329623,0.26973493202213233,0.20518571428571497,0.1719661474033119,0.0869057142857147,0.11943599990372207,0.01,NA,0.4,NA,0.4,NA,0.15,NA,0.0395,NA,5.0E-4,NA
1,3,500,5,75,0.5,-0.5,0.1,5,80,value-profile-B,external,4,20,1,categorical,0.09213483146067415,0,0.058823529411764705,0.29213483146067415,0.05,0.04032258064516129,0,1,26,9,5,0,0,0,0,0,0,17,89,180,124,35,54,445,10,32,8,4,0,27,122,188,128,35,B,2.922222222222222,3.90561797752809,2.6,1.1396318890883208,1.1435186010920657,2.6296296296296298,3.1775280898876406,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,6,6,10,19,2,0,0,0,0,0,0,0,2,1,3,15,31,14,36,83,135,40,36,46,3,0.09217352726342432,0.17608660371477677,0.3059003990387613,0.1527205561518291,0.2955989930760174,0.1251482424738563,0.21875940188726867,0.2051141722569816,0.07394080307489957,0.09890563534065261,0.0136268756596288,0.0406589262076563,0.02214719101123592,0.07939324677110494,0.11409662921348301,0.15898975719843617,0.17646067415730346,0.11768028685365642,0.40005573033707886,0.26468340402188356,0.21154044943820294,0.17272717298701418,0.07569932584269687,0.11706238990459383,0.01,NA,0.4,NA,0.4,NA,0.15,NA,0.0395,NA,5.0E-4,NA
1,4,500,5,75,0.5,-0.5,0.1,5,80,value-profile-B,external,4,20,1,categorical,0.13425925925925927,0.014925373134328358,0.125,0.45652173913043476,0.06857142857142857,0.008849557522123894,0,3,42,12,1,0,0,0,1,0,0,24,92,175,113,28,67,432,8,41,9,9,0,32,134,184,122,28,B,3.071641791044776,3.7962962962962963,2.6,1.0974665941131803,1.1478014044642335,2.791044776119403,3.425925925925926,3.344,0,0,0,0,0,0,0,0,0,0,0,1,1,8,4,4,7,13,27,2,0,0,0,0,0,0,2,0,3,8,29,15,20,44,123,58,42,25,51,12,0.05926411883210716,0.13890890250104265,0.2950198948994872,0.1617328722903555,0.3045639518861893,0.12369490235447717,0.23330266570140462,0.19562736181165466,0.09547724762537954,0.12312252925541156,0.012372121055432169,0.03684953535476433,0.02877152777777772,0.0913817441011553,0.12593402777777774,0.1660637255718204,0.181689814814815,0.11859939036462755,0.4059601851851852,0.2632458390466444,0.19785648148148163,0.1689627020021569,0.059787962962963216,0.10671857103924126,0.01,NA,0.4,NA,0.4,NA,0.15,NA,0.0395,NA,5.0E-4,NA
1,5,500,5,75,0.5,-0.5,0.1,5,80,value-profile-B,external,4,20,1,categorical,0.14251207729468598,0.011764705882352941,0.037037037037037035,0.3815789473684211,0.09239130434782608,0.11764705882352941,0,1,29,17,12,0,1,0,0,0,0,27,76,184,102,25,85,414,6,57,14,8,0,33,134,198,110,25,B,3.032941176470588,3.796135265700483,3.2,0.970725783143695,1.0868449916279574,2.5294117647058822,3.3405797101449277,3.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,14,10,12,39,3,0,0,0,0,0,0,0,0,1,3,8,8,16,23,85,155,39,32,44,0,0.036283846192027853,0.09894001878550944,0.3038226947979869,0.16319511868806105,0.3160457602602394,0.12082099018831467,0.25114980481342897,0.2067781746572194,0.08582355304943934,0.10696804490909145,0.006874340886877543,0.011247951075716243,0.0324973490797731,0.09728540419126967,0.1184431042109508,0.16249805403960818,0.17382934041126388,0.11226941969101335,0.44217032116270133,0.25713643068433956,0.19300702066022174,0.16491157709130275,0.04005286447508888,0.09221172344491553,0.01,NA,0.4,NA,0.4,NA,0.15,NA,0.0395,NA,5.0E-4,NA
1,6,500,5,75,0.5,-0.5,0.1,5,80,value-profile-B,external,4,20,1,categorical,0.1309823677581864,0.00980392156862745,0,0.21333333333333335,0.13636363636363635,0.12222222222222222,0.045454545454545456,0,16,24,11,1,0,1,0,0,0,34,75,176,90,22,102,397,2,63,21,16,0,36,139,197,106,22,B,3.2333333333333334,3.7153652392947105,3.4,0.9843902836361994,1.1189761125350954,2.656862745098039,3.3198992443324937,3.184,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,17,24,25,32,1,0,0,0,0,0,0,0,0,1,1,3,10,11,16,30,148,99,36,41,1,0.01628910475968039,0.054073681616767344,0.26316428627599636,0.17683424644052154,0.3044822853706917,0.12691989187307376,0.2934063726848324,0.2152715852688012,0.11392556317251347,0.12875977414701892,0.0087323877362854,0.01212277176778818,0.04069027210641556,0.11015703822787248,0.1279116714733295,0.1678192104075595,0.17590987216182766,0.11283730637669857,0.4349729861804578,0.26258066415705716,0.18267688971943744,0.16253668916183295,0.0378383083585314,0.08874859904815058,0.01,NA,0.4,NA,0.4,NA,0.15,NA,0.0395,NA,5.0E-4,NA
1,7,500,5,75,0.5,-0.5,0.1,5,80,value-profile-B,external,4,20,1,categorical,0.18090452261306533,0.009900990099009901,0.05714285714285714,0.23863636363636365,0.16568047337278108,0.2413793103448276,0,2,21,28,21,0,0,0,1,0,0,35,88,169,87,19,101,398,1,51,35,13,1,36,140,204,100,20,B,3.4633663366336633,3.6658291457286434,3.4,1.0366041525590324,1.1262167615614165,2.772277227722772,3.2738693467336684,3.174,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,17,30,29,18,5,0,0,0,0,0,0,0,0,0,0,2,8,20,10,10,57,165,84,39,3,0.012680954723374143,0.03792287575546741,0.21543341455004328,0.18500957775906732,0.2702115620885275,0.13571139261343695,0.36463061607934544,0.24626548870678708,0.12057250864743439,0.12291354529836224,0.01647094391127517,0.039795052293991426,0.0417393411978064,0.11143463433579849,0.14094355012300075,0.17360380579183396,0.18566141344421774,0.11825365299592276,0.4232491981478554,0.2631809779322422,0.17426350655934061,0.15994005497941816,0.0341429905277786,0.08302920607307435,0.01,NA,0.4,NA,0.4,NA,0.15,NA,0.0395,NA,5.0E-4,NA
1,8,500,5,75,0.5,-0.5,0.1,5,80,value-profile-B,external,4,20,1,categorical,0.18041237113402062,0,0.08571428571428572,0.23595505617977527,0.16129032258064516,0.25,0,3,21,25,21,0,0,0,0,0,0,35,89,155,84,25,111,388,1,40,41,28,1,36,130,196,112,26,B,3.646846846846847,3.6762886597938143,3.4,1.02388618887321,1.1661172483948137,2.7027027027027026,3.2809278350515463,3.156,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,7,44,38,12,5,0,0,0,0,0,0,0,0,0,0,5,8,11,22,30,29,166,78,38,1,0.011180634546841034,0.03597484678580036,0.16486000251187186,0.17909753288822072,0.23229436382066185,0.12709123041763118,0.40833006237962205,0.23359176488475525,0.16556141792655507,0.1460894897147601,0.01777351881444819,0.036735106622807746,0.04248686893747015,0.11279898538727945,0.14467064765533197,0.17538197129088015,0.18607107487624044,0.12166486825649855,0.4067654183534947,0.2654302284359161,0.17995531868275508,0.16715865345887285,0.04005067149470798,0.09544700195549094,0.01,NA,0.4,NA,0.4,NA,0.15,NA,0.0395,NA,5.0E-4,NA
1,9,500,5,75,0.5,-0.5,0.1,5,80,value-profile-B,external,4,20,1,categorical,0.07712082262210797,0.00909090909090909,0.07692307692307693,0.23595505617977527,0.040268456375838924,0,0,3,21,6,0,0,0,0,1,0,0,39,89,149,83,29,110,389,2,35,40,32,1,41,125,189,115,30,B,3.6872727272727275,3.660668380462725,2.4,1.0403611789562508,1.189382281469666,2.6545454545454548,3.2673521850899743,3.13,0,0,0,0,0,0,0,0,0,1,0,4,4,28,17,20,17,11,8,0,0,0,0,0,0,0,0,3,6,9,13,5,17,76,76,72,37,49,26,0,0.014178848529764134,0.05020275762422165,0.15580541766011036,0.17708000288622128,0.2224678882277447,0.12179521412080628,0.4123182844093721,0.23034129809794177,0.17732019785630995,0.1506043897825911,0.017909363316698627,0.03530964728709043,0.046335218508997446,0.11828517575271921,0.14808097686375307,0.17688486557112582,0.1848971722365035,0.1226069477069049,0.3947640102827774,0.26757565659149757,0.18235347043701747,0.17145171277638466,0.04356915167095108,0.10209146936983983,0.01,NA,0.4,NA,0.4,NA,0.15,NA,0.0395,NA,5.0E-4,NA
